Profile,Company Name,Location,Links
Group Manager (Engineering),Legal Zoom,"Glendale, CA",https://job-openings.monster.com/group-manager-engineering-glendale-ca-us-legal-zoom/f7a12da6-0bbf-4620-8848-365e982ec0ee
VP Engineering,Sotheby's,"New York, NY",https://job-openings.monster.com/vp-engineering-new-york-ny-us-sothebys/d7b7a6d5-6ca8-4ff8-9964-51104cef5c0a
"Director, Product Management",PredictSpring Inc,"Los Altos, CA",https://job-openings.monster.com/director-product-management-los-altos-ca-us-predictspring-inc/577c6337-2182-46b4-aa0c-5f0a64915e2d
Head of DevOps/SRE,Armorblox,"Cupertino, CA",https://job-openings.monster.com/head-of-devops-sre-cupertino-ca-us-armorblox/cf55124c-8f7b-462c-bd20-20329429aa41
Cloud Architect,Randstad Technologies,"Pittsburgh, PA",https://job-openings.monster.com/cloud-architect-pittsburgh-pa-us-randstad-technologies/223535108
VP of Engineering Avalanche,Actian,"Round Rock, TX",https://job-openings.monster.com/vp-of-engineering-avalanche-round-rock-tx-us-actian/7c5f70f0-3eab-4f3f-96a9-0d46133af57a
VP of Business Development,Logz.io,"Boston, MA",https://job-openings.monster.com/vp-of-business-development-boston-ma-us-logz-io/9855968e-7022-4621-b318-683c3cec9c03
Vice President of Technology,Sphere Inc.,"Chicago, IL",https://job-openings.monster.com/vice-president-of-technology-chicago-il-us-sphere-inc/5be07f05-c6ca-4277-8e51-e67cf72bff3b
Cloud PreSales Solution Architect,HCL Americas,"Sunnyvale, CA",https://job-openings.monster.com/cloud-presales-solution-architect-sunnyvale-ca-us-hcl-americas/223385744
Software Engineer Java- ( Strong AWS),A-Line Staffing Solutions,"Chapel Hill, NC",https://job-openings.monster.com/software-engineer-java-strong-aws-chapel-hill-nc-us-a-line-staffing-solutions/223351546
Senior Data Engineer,Seagen,"Bothell, WA",https://job-openings.monster.com/senior-data-engineer-bothell-wa-us-seagen/3e000251-a72f-4b2c-ae87-db3db9098ec3
Sr. FP&A Manager – CTO / Corp. & Bus. Development Support,Automation Anywhere,"San Jose, CA",https://job-openings.monster.com/sr-fp-a-manager-–-cto-corp-bus-development-support-san-jose-ca-us-automation-anywhere/42dbd706-ff29-4a46-a965-b24c212ffd6d
VP Advanced Technology Media,Spectrum,"New York, NY",https://job-openings.monster.com/vp-advanced-technology-media-new-york-ny-us-spectrum/cdef2c01-fc1e-40a2-8d31-b06d5f010c23
"Director, Product Marketing",80Twenty,"Pasadena, CA",https://job-openings.monster.com/director-product-marketing-pasadena-ca-us-80twenty/6dd6d0e5-4bee-4b1b-a99c-2dca0c0b2d45
VP of Product Security,Palo Alto Networks,"Santa Clara, CA",https://job-openings.monster.com/vp-of-product-security-santa-clara-ca-us-palo-alto-networks/b8d2b49e-c2bd-4a75-b348-235fa6014828
Identity Software Engineer,WP Engine,"Remote, CA",https://job-openings.monster.com/identity-software-engineer-remote-ca-us-wp-engine/e0ba0511-f537-4c05-b342-5a3cdd276a00
Senior Java/Hadoop Developer,Net2Source,"Dulles, VA",https://job-openings.monster.com/senior-java-hadoop-developer-dulles-va-us-net2source/223297497
"Software Engineer, Java Applications",CyberCoders,"San Mateo, CA",https://job-openings.monster.com/software-engineer-java-applications-san-mateo-ca-us-cybercoders/223559344
Developer (Specialty) IV,Genesis10,"Richfield, MN",https://job-openings.monster.com/developer-specialty-iv-richfield-mn-us-genesis10/223540465
Lead Front End Mobile Developer,Alexander Technology Group,"Beverly, MA",https://job-openings.monster.com/lead-front-end-mobile-developer-beverly-ma-us-alexander-technology-group/223112446
Engineering Manager,Eliassen Group,"Washington, DC",https://job-openings.monster.com/engineering-manager-washington-dc-us-eliassen-group/223278153
Sr. Data Engineer,"Harvey Nash, Inc","New York, NY",https://job-openings.monster.com/sr-data-engineer-new-york-ny-us-harvey-nash-inc/223305107
Principal Software Engineer - Non IT,CorTech LLC,"Milwaukee, WI",https://job-openings.monster.com/principal-software-engineer-non-it-milwaukee-wi-us-cortech-llc/223051763
Principal Software Engineer,Applicantz Inc,"Milwaukee, WI",https://job-openings.monster.com/principal-software-engineer-milwaukee-wi-us-applicantz-inc/223042733
Principal Software Engineer,Apidel Technologies,"Milwaukee, WI",https://job-openings.monster.com/principal-software-engineer-milwaukee-wi-us-apidel-technologies/223039853
Principal Engineer/Architect,Thryv,"DFW Airport, TX",https://job-openings.monster.com/principal-engineer-architect-dfw-airport-tx-us-thryv/222960720
App Dev - Java – Guru,"ICONMA, LLC","San Francisco, CA",https://job-openings.monster.com/app-dev-java-–-guru-san-francisco-ca-us-iconma-llc/223247010
Data Scientist (W2 Contract),Ascent Services Group,"Oakland, CA",https://job-openings.monster.com/data-scientist-w2-contract-oakland-ca-us-ascent-services-group/222962851
ORACLE RAC Database Administrator,"Brandon Consulting Associates, Inc.","Richmond, VA",https://job-openings.monster.com/oracle-rac-database-administrator-richmond-va-us-brandon-consulting-associates-inc/222939472
Databricks Consultant - Remote,Diversant LLC,"Remote, OR",https://job-openings.monster.com/databricks-consultant-remote-remote-or-us-diversant-llc/223481288
"Sr. Product Owner - SaaS, iaas, Cloud",CyberCoders,"Tempe, AZ",https://job-openings.monster.com/sr-product-owner-saas-iaas-cloud-tempe-az-us-cybercoders/223559111
Data Engineer Co'Op - Cloud Pak for Data,IBM,"Austin, TX",https://job-openings.monster.com/data-engineer-coop-cloud-pak-for-data-austin-tx-us-ibm/223116875
Full Stack Developer,Power Fusion Media,WA,https://job-openings.monster.com/full-stack-developer-wa-us-power-fusion-media/e3a46c73-b3fa-4043-90fc-08482ac15016
DevOps Engineer,Fidelity TalentSource,"Durham, NC",https://job-openings.monster.com/devops-engineer-durham-nc-us-fidelity-talentsource/d6a6d3ca-1cf1-4655-a6df-c320b7b7c2eb
Customer Success Architect,Kratos Defense & Security Solutions,"Colorado Springs, CO",https://job-openings.monster.com/customer-success-architect-colorado-springs-co-us-kratos-defense-security-solutions/64a12268-2137-4175-9b46-67e71323ee13
IT Professional,PSEG,"Newark, NJ",https://job-openings.monster.com/it-professional-newark-nj-us-pseg/223118666
Director Legal Operations,Honeywell,"Charlotte, NC",https://job-openings.monster.com/director-legal-operations-charlotte-nc-us-honeywell/223349796
"Sr Architect - Data Engineering - Broomfield, CO","Lumen Technologies, Inc","BROOMFIELD, CO",https://job-openings.monster.com/sr-architect-data-engineering-broomfield-co-broomfield-co-us-lumen-technologies-inc/b128ad2a-cf39-4171-9772-5e02cbbf3c1f
Cyber Security Consultant - Information Security Office,Capital One,Upper Marlboro,https://job-openings.monster.com/cyber-security-consultant-information-security-office-upper-marlboro-us-capital-one/fa4db3ca-e031-4642-9b35-9bbb6249c60e
"Sr Architect - Data Engineering - Broomfield, CO",Lumen,"BROOMFIELD, CO",https://job-openings.monster.com/sr-architect-data-engineering-broomfield-co-broomfield-co-us-lumen/1f5982bd-5ffd-464d-a075-edd5ee2f35ab
Sr. GCP Cloud Developer,Cognizant,"Stamford, CT",https://job-openings.monster.com/sr-gcp-cloud-developer-stamford-ct-us-cognizant/223136368
Solutions Architect- Kubernetes- Central,Veeam,"Columbus, OH",https://job-openings.monster.com/solutions-architect-kubernetes-central-columbus-oh-us-veeam/6d3eeba7-bdc0-4d74-b549-1edf46075c34
"DevOps Engineers (AWS, Azure or GCP)",Jobot,"Baltimore, MD",https://job-openings.monster.com/devops-engineers-aws-azure-or-gcp-baltimore-md-us-jobot/223397490
Back End Java Developer,CyberCoders,"Mountain View, CA",https://job-openings.monster.com/back-end-java-developer-mountain-view-ca-us-cybercoders/223559328
Application Solution Engineer - GCP Pipeline,"TekPartners Solutions, LLC","Green Bay, WI",https://job-openings.monster.com/application-solution-engineer-gcp-pipeline-green-bay-wi-us-tekpartners-solutions-llc/223491731
Senior Backend Engineer,TEEMA Solutions Group,"Indianapolis, IN",https://job-openings.monster.com/senior-backend-engineer-indianapolis-in-us-teema-solutions-group/222919971
Principal DevOps Engineer - Frameworks,ZoomInfo,"Bethesda, MD",https://job-openings.monster.com/principal-devops-engineer-frameworks-bethesda-md-us-zoominfo/75526f57-8719-4d3a-8a4f-39af4e40bc3d
"Staff DevSecOps, SRE",Teradata,"San Diego, CA",https://job-openings.monster.com/staff-devsecops-sre-san-diego-ca-us-teradata/5dae482d-530a-4ffa-adda-c1eccd0e8e70
Senior Vice President Reliability Engineering,Salesforce,"San Francisco, CA",https://job-openings.monster.com/senior-vice-president-reliability-engineering-san-francisco-ca-us-salesforce/c792bd92-3623-4d65-abb7-d075d26000df
Site Reliability Engineer,Equifax,"St Louis, MO",https://job-openings.monster.com/site-reliability-engineer-st-louis-mo-us-equifax/e01b2a02-4d88-4e65-98d5-6830f8b355fe
"Vice President, Infrastructure",Discover,"Riverwoods, IL",https://job-openings.monster.com/vice-president-infrastructure-riverwoods-il-us-discover/aeb46f77-a66e-47e7-92e2-34e4e7466485
Cassandra + AWS / GCP,The Judge Group,"San Francisco, CA",https://job-openings.monster.com/cassandra-aws-gcp-san-francisco-ca-us-the-judge-group/223325650
Data Science Engineer,"BioIntelliSense , Inc.","Golden, CO",https://job-openings.monster.com/data-science-engineer-golden-co-us-biointellisense-inc/c723da85-bee9-4a48-b5cc-2d48fbb94129
"Director, Engineering",The Muse,"Lowell, MA",https://job-openings.monster.com/director-engineering-lowell-ma-us-the-muse/56f64f3b-dc79-4ac9-a94d-623885f9bd36
Sr. Data Engineer,Randstad Technologies,"San Antonio, TX",https://job-openings.monster.com/sr-data-engineer-san-antonio-tx-us-randstad-technologies/223243545
Sr. DevOps Engineer,NTT DATA Services,"Hermitage, TN",https://job-openings.monster.com/sr-devops-engineer-hermitage-tn-us-ntt-data-services/223207327
VMware Engineer,HCL Americas,"Dallas, TX",https://job-openings.monster.com/vmware-engineer-dallas-tx-us-hcl-americas/223589004
SaaS Technical Support,"Nesco Resource, LLC","Neenah, WI",https://job-openings.monster.com/saas-technical-support-neenah-wi-us-nesco-resource-llc/223385450
"Sr. Developer/Consultant, Conversational AI",AIC,"Dublin, OH",https://job-openings.monster.com/sr-developer-consultant-conversational-ai-dublin-oh-us-aic/223590024
IBM ISAM Engineer,Apex Systems,"Cedar Rapids, IA",https://job-openings.monster.com/ibm-isam-engineer-cedar-rapids-ia-us-apex-systems/223484954
Platform Engineer,"Harvey Nash, Inc","Seattle, WA",https://job-openings.monster.com/platform-engineer-seattle-wa-us-harvey-nash-inc/223144595
Quality Lead Jr,Genesis10,"Brooklyn, OH",https://job-openings.monster.com/quality-lead-jr-brooklyn-oh-us-genesis10/223434104
Solutions Architect IV,Tekmark Global Solutions,GA,https://job-openings.monster.com/solutions-architect-iv-ga-us-tekmark-global-solutions/223076116
Principal Angular Developer,Ascent Services Group,"Englewood, CO",https://job-openings.monster.com/principal-angular-developer-englewood-co-us-ascent-services-group/223070652
Principal Cloud/Systems Engineer -- Remote,Thryv,TX,https://job-openings.monster.com/principal-cloud-systems-engineer-remote-tx-us-thryv/222960714
"Data Scientist - Big Data, AWS/Azure, Statistical Analysis",CyberCoders,"Everett, WA",https://job-openings.monster.com/data-scientist-big-data-aws-azure-statistical-analysis-everett-wa-us-cybercoders/223558664
Data Engineer Co'Op - Cloud Pak for Data,IBM,"Raleigh, NC",https://job-openings.monster.com/data-engineer-coop-cloud-pak-for-data-raleigh-nc-us-ibm/223116675
Full Stack Developer,Power Fusion Media,TN,https://job-openings.monster.com/full-stack-developer-tn-us-power-fusion-media/86aaaadc-d10e-49d6-b169-d1af9689db28
Customer Success Engineer (Satcom),Kratos Defense & Security Solutions,"Colorado Springs, CO",https://job-openings.monster.com/customer-success-engineer-satcom-colorado-springs-co-us-kratos-defense-security-solutions/b34ef64c-1397-40cb-b9d1-45a1331e9724
VP of Platform Engineering - Distributed Systems,CyberCoders,"San Francisco, CA",https://job-openings.monster.com/vp-of-platform-engineering-distributed-systems-san-francisco-ca-us-cybercoders/223559246
Networks Engineer,Fidelity TalentSource,"Westlake, TX",https://job-openings.monster.com/networks-engineer-westlake-tx-us-fidelity-talentsource/9c761adb-3d4b-4fd6-a39c-bf4d6e199187
Master Software Engineer - Capital One Shopping,Capital One,"Emerson, NY",https://job-openings.monster.com/master-software-engineer-capital-one-shopping-emerson-ny-us-capital-one/f95020f4-df5f-442a-8566-22b51f758f4d
AWS Data Pipeline/ Spark Developer,Cognizant,"Boston, MA",https://job-openings.monster.com/aws-data-pipeline-spark-developer-boston-ma-us-cognizant/223107594
"DevOps Engineers (AWS, Azure or GCP)",Jobot,"Gainesville, VA",https://job-openings.monster.com/devops-engineers-aws-azure-or-gcp-gainesville-va-us-jobot/223397493
Principal Kubernetes Engineer,ZoomInfo,"Vancouver, WA",https://job-openings.monster.com/principal-kubernetes-engineer-vancouver-wa-us-zoominfo/312f7868-9216-4eb8-955e-de4b109379bd
Devops Engineer with Azure Kubernetes(AKS),The Judge Group,"Des Moines, IA",https://job-openings.monster.com/devops-engineer-with-azure-kubernetes-aks-des-moines-ia-us-the-judge-group/223035462
Vice President of Product Security,The Muse,"Santa Clara, CA",https://job-openings.monster.com/vice-president-of-product-security-santa-clara-ca-us-the-muse/11425eba-e0ec-4ba8-bbe0-a18b5f12f60b
Back end Java Developer,Randstad Technologies,"Minneapolis, MN",https://job-openings.monster.com/back-end-java-developer-minneapolis-mn-us-randstad-technologies/223541016
Performance Engineer Analyst,NTT DATA Services,"Hermitage, TN",https://job-openings.monster.com/performance-engineer-analyst-hermitage-tn-us-ntt-data-services/223307373
Data Integration Engineer,AIC,"Dublin, OH",https://job-openings.monster.com/data-integration-engineer-dublin-oh-us-aic/223589929
GCP Security Engineer,HCL Americas,"Dallas, TX",https://job-openings.monster.com/gcp-security-engineer-dallas-tx-us-hcl-americas/223385749
Data Product Manager,"Harvey Nash, Inc","New York, NY",https://job-openings.monster.com/data-product-manager-new-york-ny-us-harvey-nash-inc/223378571
Digital Marketing Specialist,"Nesco Resource, LLC","New Haven, CT",https://job-openings.monster.com/digital-marketing-specialist-new-haven-ct-us-nesco-resource-llc/223378194
Solutions Architect III,Tekmark Global Solutions,GA,https://job-openings.monster.com/solutions-architect-iii-ga-us-tekmark-global-solutions/222921729
Global Security – Cloud Penetration Testing Consultant - X-Force Red,IBM,"New York, NY",https://job-openings.monster.com/global-security-–-cloud-penetration-testing-consultant-x-force-red-new-york-ny-us-ibm/223310508
Full Stack Web Engineer - React & Cloud,CyberCoders,"Kentfield, CA",https://job-openings.monster.com/full-stack-web-engineer-react-cloud-kentfield-ca-us-cybercoders/223559191
Full Stack Developer,Power Fusion Media,NH,https://job-openings.monster.com/full-stack-developer-nh-us-power-fusion-media/7b7b65f2-c2b7-4cf8-bd7a-423c393c894d
Senior Node Engineer,Capital One,"Hopewell, VA",https://job-openings.monster.com/senior-node-engineer-hopewell-va-us-capital-one/f19d55cc-d531-46c9-a7c5-f0675a7c2014
Hadoop Developer,Cognizant,"Minneapolis, MN",https://job-openings.monster.com/hadoop-developer-minneapolis-mn-us-cognizant/223357438
"DevOps Engineers (AWS, Azure or GCP)",Jobot,"Frederick, VA",https://job-openings.monster.com/devops-engineers-aws-azure-or-gcp-frederick-va-us-jobot/223397561
Principal DevOps Engineer - Frameworks,ZoomInfo,"Waltham, MA",https://job-openings.monster.com/principal-devops-engineer-frameworks-waltham-ma-us-zoominfo/016e5bf2-8d9f-48ea-985c-ac7a289446ea
Mobile Engineering Manager,Randstad Technologies,"Lexington, MA",https://job-openings.monster.com/mobile-engineering-manager-lexington-ma-us-randstad-technologies/223502264
Database Applications Developer - III,The Judge Group,"Alpharetta, GA",https://job-openings.monster.com/database-applications-developer-iii-alpharetta-ga-us-the-judge-group/223247515
Network Architect - Remote Position,NTT DATA Services,"Louisville, KY",https://job-openings.monster.com/network-architect-remote-position-louisville-ky-us-ntt-data-services/223547348
Linux Engineer,"Nesco Resource, LLC","Columbus, OH",https://job-openings.monster.com/linux-engineer-columbus-oh-us-nesco-resource-llc/223362780
"100% Remote Software Developer-(PHP,LAMP,Mongo DB)",CyberCoders,"Charlotte, NC",https://job-openings.monster.com/100-remote-software-developer-php-lamp-mongo-db-charlotte-nc-us-cybercoders/223559211
Solutions Architect III,Tekmark Global Solutions,OH,https://job-openings.monster.com/solutions-architect-iii-oh-us-tekmark-global-solutions/222921743
Sr. Software Engineer - Fullstack,"Harvey Nash, Inc","Bellevue, WA",https://job-openings.monster.com/sr-software-engineer-fullstack-bellevue-wa-us-harvey-nash-inc/223163524
Global Security – Cloud Penetration Testing Consultant - X-Force Red,IBM,"Raleigh, NC",https://job-openings.monster.com/global-security-–-cloud-penetration-testing-consultant-x-force-red-raleigh-nc-us-ibm/223308901
"Senior Software Engineer - Java, AWS, Remote",CyberCoders,"Austin, TX",https://job-openings.monster.com/senior-software-engineer-java-aws-remote-austin-tx-us-cybercoders/223522180
Full Stack Developer,Power Fusion Media,NV,https://job-openings.monster.com/full-stack-developer-nv-us-power-fusion-media/71f2e8cf-0446-498c-859b-66300e0bad8b
"Manager, Software Engineering (Java Full Stack)",Capital One,"Studley, VA",https://job-openings.monster.com/manager-software-engineering-java-full-stack-studley-va-us-capital-one/ed8a4e5d-4a71-4c2d-8e99-47fa39aec2de
Hadoop Developer,Cognizant,"Chicago, IL",https://job-openings.monster.com/hadoop-developer-chicago-il-us-cognizant/223295691
"DevOps Engineers (AWS, Azure or GCP)",Jobot,"Washington DC, DC",https://job-openings.monster.com/devops-engineers-aws-azure-or-gcp-washington-dc-dc-us-jobot/223397658
Principal Infrastructure Engineer - ElasticSearch,ZoomInfo,"Waltham, MA",https://job-openings.monster.com/principal-infrastructure-engineer-elasticsearch-waltham-ma-us-zoominfo/fd5de7bf-082c-4c8a-acba-07401728fc45
Senior Full Stack Java Engineer,Randstad Technologies,"Atlanta, GA",https://job-openings.monster.com/senior-full-stack-java-engineer-atlanta-ga-us-randstad-technologies/223469373
Jr DevOps Engineer,NTT DATA Services,"Hermitage, TN",https://job-openings.monster.com/jr-devops-engineer-hermitage-tn-us-ntt-data-services/223398098
Web Developer,The Judge Group,"Lawrenceville, GA",https://job-openings.monster.com/web-developer-lawrenceville-ga-us-the-judge-group/223065083
GCP Data Platform Architect,"Nesco Resource, LLC","Columbus, FL",https://job-openings.monster.com/gcp-data-platform-architect-columbus-fl-us-nesco-resource-llc/223287678
Solutions Architect III,Tekmark Global Solutions,GA,https://job-openings.monster.com/solutions-architect-iii-ga-us-tekmark-global-solutions/222921723
Global Security – Cloud Penetration Testing Consultant - X-Force Red,IBM,"Austin, TX",https://job-openings.monster.com/global-security-–-cloud-penetration-testing-consultant-x-force-red-austin-tx-us-ibm/223309637
DevOps Engineer - Azure Heavy Environment,CyberCoders,"San Diego, CA",https://job-openings.monster.com/devops-engineer-azure-heavy-environment-san-diego-ca-us-cybercoders/223559371
Full Stack Developer,Power Fusion Media,FL,https://job-openings.monster.com/full-stack-developer-fl-us-power-fusion-media/2831af9a-e5fa-46d5-966c-7bf677cee746
"Senior Manager, Software Engineering (Java Full Stack)",Capital One,"Richmond, VA",https://job-openings.monster.com/senior-manager-software-engineering-java-full-stack-richmond-va-us-capital-one/ed2fbd02-0270-4729-a0c2-a84abe831f9b
Hadoop Developer,Cognizant,"Phoenix, AZ",https://job-openings.monster.com/hadoop-developer-phoenix-az-us-cognizant/223293046
"DevOps Engineers (AWS, Azure or GCP)",Jobot,"Leesburg, VA",https://job-openings.monster.com/devops-engineers-aws-azure-or-gcp-leesburg-va-us-jobot/223230772
Java Engineer - Data,ZoomInfo,"Roswell, GA",https://job-openings.monster.com/java-engineer-data-roswell-ga-us-zoominfo/a65afc03-0e2b-449f-9daf-641a37e0db68
Senior Full Stack Java Engineer,Randstad Technologies,"Atlanta, GA",https://job-openings.monster.com/senior-full-stack-java-engineer-atlanta-ga-us-randstad-technologies/223469356
Senior Backend Developer,The Judge Group,"REMOTE, OR",https://job-openings.monster.com/senior-backend-developer-remote-or-us-the-judge-group/223325539
IT Project Manager,"Nesco Resource, LLC","Painted Post, NY",https://job-openings.monster.com/it-project-manager-painted-post-ny-us-nesco-resource-llc/223299819
Infrastructure Specialist - Cloud,IBM,"Austin, TX",https://job-openings.monster.com/infrastructure-specialist-cloud-austin-tx-us-ibm/223340485
Cloud Sales Development Manager - Google 82462,"Advanced Mircro Devices, Inc.","Bellevue, WA",https://job-openings.monster.com/cloud-sales-development-manager-google-82462-bellevue-wa-us-advanced-mircro-devices-inc/223551168
"Senior Software Engineer  -  Java, AWS, REST APIs",CyberCoders,"Denver, CO",https://job-openings.monster.com/senior-software-engineer-java-aws-rest-apis-denver-co-us-cybercoders/223451542
Full Stack Developer,Power Fusion Media,WY,https://job-openings.monster.com/full-stack-developer-wy-us-power-fusion-media/1a693d41-0ffb-4d28-aa97-05542b69256f
